organization,industry,priority_score,urgency_bucket,target_role,contact_name,email,phone,ready_channel,status,approach_subject,approach_opening,research_query_1,research_query_2,research_query_3,research_query_4,website,source_url,next_action
Naivas Supermarket,retail,82,hot,Head of Operations,Contact Team,,,,new,Quick idea to improve Naivas Supermarket response-to-sale speed,"Hi {{name}}, we help teams like Naivas Supermarket improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Naivas Supermarket Kenya Head of Operations email,site:linkedin.com/in Naivas Supermarket Head of Operations Kenya,site:naivas.online Head of Operations,"""Naivas Supermarket"" ""contact"" Kenya",https://naivas.online,https://naivas.online,Find decision-maker email/phone then send first-touch value message
Chandarana Foodplus,retail,82,hot,Head of Operations,Contact Team,,,,new,Quick idea to improve Chandarana Foodplus response-to-sale speed,"Hi {{name}}, we help teams like Chandarana Foodplus improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Chandarana Foodplus Kenya Head of Operations email,site:linkedin.com/in Chandarana Foodplus Head of Operations Kenya,site:chandaranafoodplus.co.ke Head of Operations,"""Chandarana Foodplus"" ""contact"" Kenya",https://chandaranafoodplus.co.ke,https://chandaranafoodplus.co.ke,Find decision-maker email/phone then send first-touch value message
Copia Kenya,retail,82,hot,Head of Operations,Contact Team,,,,new,Quick idea to improve Copia Kenya response-to-sale speed,"Hi {{name}}, we help teams like Copia Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Copia Kenya Kenya Head of Operations email,site:linkedin.com/in Copia Kenya Head of Operations Kenya,site:copia.co.ke Head of Operations,"""Copia Kenya"" ""contact"" Kenya",https://copia.co.ke,https://copia.co.ke,Find decision-maker email/phone then send first-touch value message
Jumia Kenya,retail,82,hot,Head of Operations,Customer Care Team,,,,new,Quick idea to improve Jumia Kenya response-to-sale speed,"Hi {{name}}, we help teams like Jumia Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Jumia Kenya Kenya Head of Operations email,site:linkedin.com/in Jumia Kenya Head of Operations Kenya,site:jumia.co.ke Head of Operations,"""Jumia Kenya"" ""contact"" Kenya",https://www.jumia.co.ke,https://www.jumia.co.ke,Find decision-maker email/phone then send first-touch value message
Goodlife Pharmacy,retail,82,hot,Head of Operations,Contact Team,,,,new,Quick idea to improve Goodlife Pharmacy response-to-sale speed,"Hi {{name}}, we help teams like Goodlife Pharmacy improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Goodlife Pharmacy Kenya Head of Operations email,site:linkedin.com/in Goodlife Pharmacy Head of Operations Kenya,site:goodlife.co.ke Head of Operations,"""Goodlife Pharmacy"" ""contact"" Kenya",https://goodlife.co.ke,https://goodlife.co.ke,Find decision-maker email/phone then send first-touch value message
Text Book Centre,retail,82,hot,Head of Operations,Contact Team,,,,new,Quick idea to improve Text Book Centre response-to-sale speed,"Hi {{name}}, we help teams like Text Book Centre improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Text Book Centre Kenya Head of Operations email,site:linkedin.com/in Text Book Centre Head of Operations Kenya,site:textbookcentre.com Head of Operations,"""Text Book Centre"" ""contact"" Kenya",https://www.textbookcentre.com,https://www.textbookcentre.com,Find decision-maker email/phone then send first-touch value message
Tribe Hotel Nairobi,hospitality,82,hot,General Manager,Contact Team,,,,new,Faster guest inquiry handling for Tribe Hotel Nairobi,"Hi {{name}}, we help teams like Tribe Hotel Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Tribe Hotel Nairobi Kenya General Manager email,site:linkedin.com/in Tribe Hotel Nairobi General Manager Kenya,site:tribehotel-kenya.com General Manager,"""Tribe Hotel Nairobi"" ""contact"" Kenya",https://www.tribehotel-kenya.com,https://www.tribehotel-kenya.com,Find decision-maker email/phone then send first-touch value message
Radisson Blu Nairobi,hospitality,82,hot,General Manager,Contact Team,,,,new,Faster guest inquiry handling for Radisson Blu Nairobi,"Hi {{name}}, we help teams like Radisson Blu Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Radisson Blu Nairobi Kenya General Manager email,site:linkedin.com/in Radisson Blu Nairobi General Manager Kenya,site:radissonhotels.com General Manager,"""Radisson Blu Nairobi"" ""contact"" Kenya",https://www.radissonhotels.com,https://www.radissonhotels.com,Find decision-maker email/phone then send first-touch value message
Best Western Plus Nairobi,hospitality,82,hot,General Manager,Contact Team,,,,new,Faster guest inquiry handling for Best Western Plus Nairobi,"Hi {{name}}, we help teams like Best Western Plus Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Best Western Plus Nairobi Kenya General Manager email,site:linkedin.com/in Best Western Plus Nairobi General Manager Kenya,site:bestwestern.com General Manager,"""Best Western Plus Nairobi"" ""contact"" Kenya",https://www.bestwestern.com,https://www.bestwestern.com,Find decision-maker email/phone then send first-touch value message
Deloitte Kenya,professional_services,82,hot,Managing Partner,,,,,new,Practical way to improve lead follow-up at Deloitte Kenya,"Hi {{name}}, we help teams like Deloitte Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Deloitte Kenya Kenya Managing Partner email,site:linkedin.com/in Deloitte Kenya Managing Partner Kenya,site:www2.deloitte.com Managing Partner,"""Deloitte Kenya"" ""contact"" Kenya",https://www2.deloitte.com/ke,https://www2.deloitte.com/ke,Find decision-maker email/phone then send first-touch value message
