"FullName","Length","Extension","LastWriteTime"
"C:\Users\IA_Journal_Hub\whatsapp-bot\.env.example","1780",".example","7/14/2026 12:53:29 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\.gitignore","51",".gitignore","2/15/2026 3:09:34 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\.tmp_head_server.js","114152",".js","2/9/2026 1:18:41 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\00_READ_THIS_FIRST.txt","13723",".txt","2/6/2026 12:58:09 AM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\00_START_HERE.txt","23258",".txt","2/6/2026 12:45:01 AM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\7DAY_REVENUE_PLAN.md","15238",".md","4/18/2026 5:09:50 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_3_TO_7_HOUR_CAPTURE_PLAYBOOK.md","2135",".md","7/3/2026 9:29:00 AM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_BATCH2_MESSAGES_READY.csv","10583",".csv","7/6/2026 3:02:58 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_BATCH2_MESSAGES_READY.md","10645",".md","7/6/2026 2:09:25 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_BATCH2_NEXT_ACTIONS.csv","3608",".csv","7/6/2026 3:02:58 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_BATCH2_TOMORROW.csv","5367",".csv","7/6/2026 3:02:58 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_BATCH2_TOMORROW_REFRESHED.csv","5002",".csv","7/6/2026 2:04:43 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_CONTACTS_DASHBOARD.html","21878",".html","7/3/2026 11:09:02 AM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_CONTACT_CAPTURE_EDITABLE.xlsx","58294",".xlsx","7/3/2026 11:49:36 AM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_CONTACT_CAPTURE_TEMPLATE.csv","14252",".csv","7/3/2026 10:07:45 AM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_CONTACT_CAPTURE_TEMPLATE.updated.csv","14239",".csv","7/3/2026 11:49:52 AM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_DEEP_RESEARCH_MIXED.csv","14250",".csv","7/6/2026 1:03:25 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_DEEP_RESEARCH_SUMMARY.json","324",".json","7/6/2026 1:03:25 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_DEEP_RESEARCH_TOP12_BALANCED.csv","7379",".csv","7/6/2026 1:03:25 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_FAILED_CONTACTS.csv","728",".csv","7/6/2026 12:55:43 PM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_FAST_PIPELINE_SUMMARY.json","242",".json","7/6/2026 11:46:10 AM"
"C:\Users\IA_Journal_Hub\whatsapp-bot\ABOSS_FOLLOWUP_24H_BATCH1.csv","4018",".csv","7/6/2026 1:53:05 PM"
