organization,decision_stage,phone,whatsapp_url,message_type,whatsapp_message,call_opener
Jumia Kenya,ACTION_REQUIRED_CALL,+254711011011,https://wa.me/254711011011,call_owner_routing,"Hi team, this is {{your_name}} from AlphaDome. We help retail teams convert buyer inquiries faster with a practical same-day workflow. Could you kindly share the best contact for the person handling commercial operations or bulk purchase in Kenya?","Hello, this is {{your_name}} from AlphaDome. We support retail teams to convert inbound inquiries faster into confirmed orders. Could you connect me to the person handling commercial operations or bulk purchase workflows in Kenya?"
BasiGo,OUTREACH_SENT,+254705837904,https://wa.me/254705837904,follow_up_24h,"Hi {{name}}, quick follow-up on my earlier note. We can help BasiGo improve inquiry-to-decision speed with a practical 2-step flow on WhatsApp and call routing. Open to a 15-minute call today or tomorrow?","Hi {{name}}, this is {{your_name}} from AlphaDome following up on my message. Is now a good time for a 60-second summary and then we decide if a 15-minute pilot call is worth it?"
Greenspoon,OUTREACH_SENT,+254157267894,https://wa.me/254157267894,follow_up_24h,"Hi {{name}}, following up on my earlier outreach. We help retail operations reduce response delays and recover missed buyer intent through a simple same-day workflow. Would a 15-minute call be useful this week?","Hi {{name}}, {{your_name}} here from AlphaDome. I am following up on my note about improving inquiry-to-order conversion speed at Greenspoon. Can I give a quick 60-second context?"
Ilara Health,OUTREACH_SENT,+254111027900,https://wa.me/254111027900,follow_up_24h,"Hi {{name}}, quick follow-up. We help healthcare teams handle inbound demand and follow-up faster so high-intent conversations do not stall. Open to a short 15-minute pilot discussion?","Hi {{name}}, this is {{your_name}} from AlphaDome. We shared a short idea on speeding inquiry follow-up for healthcare operations. Is now a good time for a one-minute overview?"
Kopo Kopo,OUTREACH_SENT,+254709000000,https://wa.me/254709000000,first_touch,"Hi {{name}}, {{your_name}} from AlphaDome here. We help fintech and merchant teams improve lead qualification and follow-up conversion with a practical same-day workflow. If helpful, I can share a 2-step pilot approach tailored to Kopo Kopo.","Hi {{name}}, {{your_name}} from AlphaDome. Reaching out with a short idea for improving response-to-conversion speed on merchant-facing inquiries. Could we schedule 15 minutes?"
M-Gas,OUTREACH_SENT,+254792556677,https://wa.me/254792556677,follow_up_24h,"Hi {{name}}, following up on my earlier message. We help operations teams route and convert high-intent inquiries faster with disciplined follow-up. Would you be open to a 15-minute pilot discussion this week?","Hi {{name}}, this is {{your_name}} from AlphaDome. Quick follow-up on an idea to improve inquiry routing and conversion speed. May I share a 60-second summary?"
Naivas Supermarket,OUTREACH_SENT,+254711000000,https://wa.me/254711000000,first_touch,"Hi {{name}}, this is {{your_name}} from AlphaDome. We help retail teams convert inbound inquiries faster using a practical WhatsApp and call follow-up workflow. If useful, I can share a 2-step pilot tailored to Naivas.","Hi {{name}}, {{your_name}} from AlphaDome. We have a short operational idea to improve inquiry-to-order conversion speed. Open to 15 minutes this week?"
PesaPal,OUTREACH_SENT,+254709219000,https://wa.me/254709219000,first_touch,"Hi {{name}}, {{your_name}} from AlphaDome here. We help payments teams improve response discipline and conversion from active inquiries with a simple same-day operating flow. Would you like a short 2-step pilot outline?","Hi {{name}}, this is {{your_name}} from AlphaDome. Reaching out with a concise idea to increase inquiry-to-conversion speed for payment-related conversations. Can we do a 15-minute call?"
Quickmart,OUTREACH_SENT,+254789646464,https://wa.me/254789646464,first_touch,"Hi {{name}}, this is {{your_name}} from AlphaDome. We help retail operations convert active buyer inquiries faster through better triage and follow-up cadence. Happy to share a practical 2-step pilot for Quickmart.","Hi {{name}}, {{your_name}} from AlphaDome. Could I share a one-minute overview on improving inquiry-to-order conversion speed at store operations level?"
Safaricom,OUTREACH_SENT,+254722002222,https://wa.me/254722002222,first_touch,"Hi {{name}}, {{your_name}} from AlphaDome here. We help enterprise-facing teams increase conversion from inbound demand by tightening qualification and follow-up operations. If relevant, I can share a short pilot framework.","Hi {{name}}, this is {{your_name}} from AlphaDome. Reaching out with a short operations-led idea to improve conversion velocity from inbound business inquiries. Open to 15 minutes?"
Twiva,OUTREACH_SENT,+254715819949,https://wa.me/254715819949,follow_up_24h,"Hi {{name}}, quick follow-up on my earlier note. We help social-commerce teams improve lead handling and follow-up conversion with a practical same-day workflow. Would you be open to a 15-minute conversation?","Hi {{name}}, {{your_name}} from AlphaDome. Following up on my message about improving inquiry-to-conversion flow. Can I share a one-minute summary?"
