organization,contact_name,channel,recipient,subject,message_template,priority_score,execution_score,reason_selected,action_now,rank
Carrefour Kenya,Contact Team,email,contact@mafcarrefour.com,Quick idea to improve Carrefour Kenya response-to-sale speed,"Hi {{name}}, we help teams like Carrefour Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Carrefour Kenya. Reply YES and I will send it.",82,823,high-priority|direct-email-ready|has-contact-name,Send first touch and set follow-up reminder for +24h,1
Kilimall Kenya,Contact Team,email,help@kilimall.com,Quick idea to improve Kilimall Kenya response-to-sale speed,"Hi {{name}}, we help teams like Kilimall Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Kilimall Kenya. Reply YES and I will send it.",82,823,high-priority|direct-email-ready|has-contact-name,Send first touch and set follow-up reminder for +24h,2
Hotpoint Appliances,Customer Care Team,email,channelsales@hotpoint.co.ke,Quick idea to improve Hotpoint Appliances response-to-sale speed,"Hi {{name}}, we help teams like Hotpoint Appliances improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Hotpoint Appliances. Reply YES and I will send it.",82,823,high-priority|direct-email-ready|has-contact-name,Send first touch and set follow-up reminder for +24h,3
Sarova Hotels,Reservations Team,email,sarovazawadi@sarovahotels.com,Faster guest inquiry handling for Sarova Hotels,"Hi {{name}}, we help teams like Sarova Hotels improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Sarova Hotels. Reply YES and I will send it.",82,823,high-priority|direct-email-ready|has-contact-name,Send first touch and set follow-up reminder for +24h,4
Serena Hotels Kenya,Support Team,email,sales@serena.com.pk,Faster guest inquiry handling for Serena Hotels Kenya,"Hi {{name}}, we help teams like Serena Hotels Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Serena Hotels Kenya. Reply YES and I will send it.",82,823,high-priority|direct-email-ready|has-contact-name,Send first touch and set follow-up reminder for +24h,5
Villa Rosa Kempinski Nairobi,Support Team,email,info.development@kempinski.com,Faster guest inquiry handling for Villa Rosa Kempinski Nairobi,"Hi {{name}}, we help teams like Villa Rosa Kempinski Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Villa Rosa Kempinski Nairobi. Reply YES and I will send it.",82,823,high-priority|direct-email-ready|has-contact-name,Send first touch and set follow-up reminder for +24h,6
Eka Hotel Nairobi,Contact Team,email,sales@ekahotel.com,Faster guest inquiry handling for Eka Hotel Nairobi,"Hi {{name}}, we help teams like Eka Hotel Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Eka Hotel Nairobi. Reply YES and I will send it.",82,823,high-priority|direct-email-ready|has-contact-name,Send first touch and set follow-up reminder for +24h,7
PrideInn Hotels,Support Team,email,website@prideinn.co.ke,Faster guest inquiry handling for PrideInn Hotels,"Hi {{name}}, we help teams like PrideInn Hotels improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to PrideInn Hotels. Reply YES and I will send it.",82,823,high-priority|direct-email-ready|has-contact-name,Send first touch and set follow-up reminder for +24h,8
Quickmart,Support Team,phone/whatsapp,12120250807,Quick idea to improve Quickmart response-to-sale speed,"Hi {{name}}, we help teams like Quickmart improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Quickmart. Reply YES and I will send it.",82,822,high-priority|has-contact-name,Send first touch and set follow-up reminder for +24h,9
Fairmont The Norfolk,Contact Team,phone/whatsapp,2147483647,Faster guest inquiry handling for Fairmont The Norfolk,"Hi {{name}}, we help teams like Fairmont The Norfolk improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Fairmont The Norfolk. Reply YES and I will send it.",82,822,high-priority|has-contact-name,Send first touch and set follow-up reminder for +24h,10
