organization,segment,industry,target_role,decision_stage,status_raw,recommended_channel,email,email_validation,phone_raw,phone_normalized,phone_validation,channel_primary,linkedin_url,instagram_url,source_urls,next_action,evidence,from_sources
Bamba,sme,saas,Head of Growth,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://getbamba.com,Research role-holder then send,,deep_research
BasiGo,sme,mobility,Business Development Lead,OUTREACH_SENT,sent_2026-07-06_batch2,email,info@basi-go.com,valid_format,254706000000,+254705837904,valid_kenya_format,email,https://www.linkedin.com/company/basigo/,https://www.instagram.com/basi.go/,https://basi-go.com,Wait for reply; trigger follow-up in 24h if no response,emails_found=3;phones_found=1;linkedin=true;instagram=true,batch2_messages|hidden_champions|next_actions
Cellulant,sme,fintech,Partnerships Lead,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://www.cellulant.io,Research role-holder then send,,deep_research
Copia Kenya,sme,retail,Head of Operations,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://copia.co.ke,Research role-holder then send,,deep_research
DHL Kenya,large,logistics,Commercial Manager,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://www.dhl.com/ke-en/home.html,Research role-holder then send,,deep_research
Eka Hotel Nairobi,mixed,hospitality,General Manager,DEFERRED_24H,deferred_contacted_today,email,sales@ekahotel.com,valid_format,,,invalid_or_missing,email,,,,Do not resend today; use 24h follow-up only,,batch2_messages|next_actions
Equity Group,large,financial_services,Partnerships Lead,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://equitygroupholdings.com,Research role-holder then send,,deep_research
Greenspoon,sme,retail,Head of Operations,OUTREACH_SENT,sent_2026-07-06_batch2,email,shop@greenspoon.co.ke,valid_format,254157000000,+254157267894,valid_kenya_format,email,https://ke.linkedin.com/company/greenspoonke,https://www.instagram.com/greenspoonke/?hl=en,https://greenspoon.co.ke,Wait for reply; trigger follow-up in 24h if no response,emails_found=1;phones_found=2;linkedin=true;instagram=true,batch2_messages|hidden_champions|next_actions
Ilara Health,sme,healthtech,Operations Manager,OUTREACH_SENT,sent_2026-07-06_batch2,email,info@ilarahealth.com,valid_format,254111000000,+254111027900,valid_kenya_format,email,https://www.linkedin.com/company/ilarahealth/,https://www.instagram.com/ilarahealth/,https://ilarahealth.com,Wait for reply; trigger follow-up in 24h if no response,emails_found=1;phones_found=1;linkedin=true;instagram=true,batch2_messages|hidden_champions|next_actions
iProcure,sme,agri_supply,Founder/Operations Lead,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://iprocure.com,Research role-holder then send,,deep_research
Jumia Kenya,large,retail,Head of Operations,ACTION_REQUIRED_CALL,pending_jumia_call,whatsapp/call,,missing,254711000000,+254711011011,valid_kenya_format,phone/whatsapp,,,https://www.jumia.co.ke/sp-contact/,Send first touch now,Jumia Kenya support contact page lists official phone lines and corporate link,deep_research|mixed_send_now
KCB Group,large,financial_services,Partnerships Lead,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://www.kcbgroup.com,Research role-holder then send,,deep_research
Kenya Airways,large,travel,Business Development Manager,RESEARCH_BLOCKER,new,research,,missing,6745785228,,invalid_or_missing,phone/whatsapp,,,https://www.kenya-airways.com,Send first touch now,No additional verified channel found in this pass,blockers|deep_research
Kilimall Kenya,mixed,retail,Head of Operations,OUTREACH_SENT,sent_2026-07-06_batch2,email,help@kilimall.com,valid_format,,,invalid_or_missing,email,,,,Wait for reply; trigger follow-up in 24h if no response,,batch2_messages|next_actions
Kopo Kopo,sme,fintech,Partnerships Lead,OUTREACH_SENT,sent_2026-07-06,email,info@kopokopo.com,valid_format,254709000000,+254709000000,valid_kenya_format,email,,,https://kopokopo.co.ke,Send first touch now,,deep_research|mixed_send_now
M-Gas,sme,energy,Partnerships Lead,OUTREACH_SENT,sent_2026-07-06_batch2,whatsapp/call,,missing,254801000000,+254792556677,valid_kenya_format,phone/whatsapp,https://www.linkedin.com/company/m-gas/,,https://mgas.ke,Wait for reply; trigger follow-up in 24h if no response,emails_found=0;phones_found=2;linkedin=true;instagram=false,batch2_messages|hidden_champions|next_actions
M-KOPA,sme,fintech,Partnerships Lead,OUTREACH_SENT,sent_2026-07-06,email,info@m-kopa.com,valid_format,2543202618,,invalid_or_missing,email,,,https://www.m-kopa.com,Send first touch now,,deep_research|mixed_send_now
MarketForce,sme,saas,Head of Growth,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://www.marketforce.io,Research role-holder then send,,deep_research
Moringa School,sme,education,Operations Manager,OUTREACH_SENT,sent_2026-07-06,email,contact@moringaschool.com,valid_format,2540500150,,invalid_or_missing,email,,,https://moringaschool.com,Send first touch now,,deep_research|mixed_send_now
Nairobi Garage,sme,professional_services,Founder/Operations Lead,OUTREACH_SENT,sent_2026-07-06,email,join@nairobigarage.com,valid_format,2540760000000,,invalid_or_missing,email,,,https://nairobigarage.com,Send first touch now,,deep_research|mixed_send_now
Naivas Supermarket,large,retail,Head of Operations,OUTREACH_SENT,sent_2026-07-06,email,onlinesupport@naivas.co.ke,valid_format,254711000000,+254711000000,valid_kenya_format,email,,,https://naivas.online,Send first touch now,,deep_research|mixed_send_now
PesaPal,sme,fintech,Partnerships Lead,OUTREACH_SENT,sent_2026-07-06,email,info@pesapal.com,valid_format,254709000000,+254709219000,valid_kenya_format,email,,,https://www.pesapal.com/about-us,Send first touch now,Public contacts listed on Pesapal site footer/about page,deep_research|mixed_send_now
Pezesha,sme,fintech,Partnerships Lead,RESEARCH_POOL,new,research,,missing,,,invalid_or_missing,linkedin/email-research,,,https://www.pezesha.com,Research role-holder then send,,deep_research
PrideInn Hotels,large,hospitality,General Manager,OUTREACH_SENT,sent_2026-07-06,email,website@prideinn.co.ke,valid_format,2540448512,,invalid_or_missing,email,,,https://prideinnhotels.com,Send first touch now,,deep_research|mixed_send_now
