rank,organization,segment,industry,target_role,primary_channel,recipient_email,recipient_phone,subject,first_touch_message,followup_24h_message,phone_opener,linkedin_url,instagram_url,status,next_action,updated_at_utc
1,Ilara Health,sme,healthtech,Operations Manager,email,info@ilarahealth.com,2.54111E+11,2-step same-day revenue workflow for Ilara Health,"Hi {{name}},

I noticed teams in your space often face patient and partner lead follow-up delays.
We help teams like Ilara Health route high-intent leads and tighten follow-up handoffs using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to Ilara Health.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For Ilara Health, we can run a short pilot focused on qualified-lead response speed this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like Ilara Health route high-intent leads and tighten follow-up handoffs. If I share one same-day workflow we can test this week, would that be useful?",https://www.linkedin.com/company/ilarahealth/,https://www.instagram.com/ilarahealth/,sent_2026-07-06_batch2,Wait for reply; trigger follow-up in 24h if no response,2026-07-06T12:02:58.168Z
2,BasiGo,sme,mobility,Business Development Lead,email,info@basi-go.com,2.54706E+11,2-step same-day revenue workflow for BasiGo,"Hi {{name}},

I noticed teams in your space often face commercial inquiry drop-off in sales cycles.
We help teams like BasiGo prioritize commercial leads and automate follow-up cadence using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to BasiGo.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For BasiGo, we can run a short pilot focused on inquiry-to-contract conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like BasiGo prioritize commercial leads and automate follow-up cadence. If I share one same-day workflow we can test this week, would that be useful?",https://www.linkedin.com/company/basigo/,https://www.instagram.com/basi.go/,sent_2026-07-06_batch2,Wait for reply; trigger follow-up in 24h if no response,2026-07-06T12:02:58.168Z
3,Twiva,sme,social-commerce,Business Development Lead,email,info@twiva.co.ke,2.54716E+11,2-step same-day revenue workflow for Twiva,"Hi {{name}},

I noticed teams in your space often face lead follow-up inconsistencies.
We help teams like Twiva improve lead-to-revenue conversion with practical automation using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to Twiva.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For Twiva, we can run a short pilot focused on qualified lead conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like Twiva improve lead-to-revenue conversion with practical automation. If I share one same-day workflow we can test this week, would that be useful?",https://www.linkedin.com/company/twiva/,https://www.instagram.com/twiva_inc/,sent_2026-07-06_batch2,Wait for reply; trigger follow-up in 24h if no response,2026-07-06T12:02:58.168Z
4,Greenspoon,sme,retail,Head of Operations,email,shop@greenspoon.co.ke,2.54157E+11,Quick idea to improve Greenspoon response-to-sale speed,"Hi {{name}},

I noticed teams in your space often face slow response on high-intent buyer inquiries.
We help teams like Greenspoon recover abandoned checkouts and speed buyer response-to-sale using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to Greenspoon.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For Greenspoon, we can run a short pilot focused on response-to-checkout conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like Greenspoon recover abandoned checkouts and speed buyer response-to-sale. If I share one same-day workflow we can test this week, would that be useful?",https://ke.linkedin.com/company/greenspoonke,https://www.instagram.com/greenspoonke/?hl=en,sent_2026-07-06_batch2,Wait for reply; trigger follow-up in 24h if no response,2026-07-06T12:02:58.168Z
5,M-Gas,sme,energy,Partnerships Lead,phone/whatsapp,,2.54801E+11,2-step same-day revenue workflow for M-Gas,"Hi {{name}},

I noticed teams in your space often face lead follow-up inconsistencies.
We help teams like M-Gas improve lead-to-revenue conversion with practical automation using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to M-Gas.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For M-Gas, we can run a short pilot focused on qualified lead conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like M-Gas improve lead-to-revenue conversion with practical automation. If I share one same-day workflow we can test this week, would that be useful?",https://www.linkedin.com/company/m-gas/,,sent_2026-07-06_batch2,Wait for reply; trigger follow-up in 24h if no response,2026-07-06T12:02:58.168Z
6,Kilimall Kenya,mixed,retail,Head of Operations,email,help@kilimall.com,,Quick idea to improve Kilimall Kenya response-to-sale speed,"Hi {{name}},

I noticed teams in your space often face slow response on high-intent buyer inquiries.
We help teams like Kilimall Kenya recover abandoned checkouts and speed buyer response-to-sale using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to Kilimall Kenya.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For Kilimall Kenya, we can run a short pilot focused on response-to-checkout conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like Kilimall Kenya recover abandoned checkouts and speed buyer response-to-sale. If I share one same-day workflow we can test this week, would that be useful?",,,sent_2026-07-06_batch2,Wait for reply; trigger follow-up in 24h if no response,2026-07-06T12:02:58.168Z
7,Sarova Hotels,mixed,hospitality,General Manager,email,sarovazawadi@sarovahotels.com,,Faster inquiry handling for Sarova Hotels,"Hi {{name}},

I noticed teams in your space often face lost bookings due to delayed follow-up.
We help teams like Sarova Hotels recover undecided guests and improve booking conversion using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to Sarova Hotels.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For Sarova Hotels, we can run a short pilot focused on inquiry-to-booking conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like Sarova Hotels recover undecided guests and improve booking conversion. If I share one same-day workflow we can test this week, would that be useful?",,,deferred_contacted_today,Do not resend today; use 24h follow-up only,2026-07-06T12:02:58.168Z
8,Serena Hotels Kenya,mixed,hospitality,General Manager,email,sales@serena.com.pk,,Faster inquiry handling for Serena Hotels Kenya,"Hi {{name}},

I noticed teams in your space often face lost bookings due to delayed follow-up.
We help teams like Serena Hotels Kenya recover undecided guests and improve booking conversion using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to Serena Hotels Kenya.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For Serena Hotels Kenya, we can run a short pilot focused on inquiry-to-booking conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like Serena Hotels Kenya recover undecided guests and improve booking conversion. If I share one same-day workflow we can test this week, would that be useful?",,,deferred_contacted_today,Do not resend today; use 24h follow-up only,2026-07-06T12:02:58.168Z
9,Villa Rosa Kempinski Nairobi,mixed,hospitality,General Manager,email,info.development@kempinski.com,,Faster inquiry handling for Villa Rosa Kempinski Nairobi,"Hi {{name}},

I noticed teams in your space often face lost bookings due to delayed follow-up.
We help teams like Villa Rosa Kempinski Nairobi recover undecided guests and improve booking conversion using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to Villa Rosa Kempinski Nairobi.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For Villa Rosa Kempinski Nairobi, we can run a short pilot focused on inquiry-to-booking conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like Villa Rosa Kempinski Nairobi recover undecided guests and improve booking conversion. If I share one same-day workflow we can test this week, would that be useful?",,,deferred_contacted_today,Do not resend today; use 24h follow-up only,2026-07-06T12:02:58.168Z
10,Eka Hotel Nairobi,mixed,hospitality,General Manager,email,sales@ekahotel.com,,Faster inquiry handling for Eka Hotel Nairobi,"Hi {{name}},

I noticed teams in your space often face lost bookings due to delayed follow-up.
We help teams like Eka Hotel Nairobi recover undecided guests and improve booking conversion using a lightweight automation layer.

If useful, I can share a 2-step same-day pilot outline tailored to Eka Hotel Nairobi.

Reply YES and I will send it.","Hi {{name}},

Quick follow-up in case this got buried.
For Eka Hotel Nairobi, we can run a short pilot focused on inquiry-to-booking conversion this week.

If you are open, I will send a one-page scope with timeline and KPI target.","Hi {{name}}, quick one. We help teams like Eka Hotel Nairobi recover undecided guests and improve booking conversion. If I share one same-day workflow we can test this week, would that be useful?",,,deferred_contacted_today,Do not resend today; use 24h follow-up only,2026-07-06T12:02:58.168Z
