organization,segment,industry,target_role,email,phone,channel_primary,priority_score,reason_selected,approach_subject,approach_opening,linkedin_url,instagram_url,source_urls,validation_signals,next_action,status,updated_at_utc
Ilara Health,sme,healthtech,Operations Manager,info@ilarahealth.com,2.54111E+11,email,99,deep_research_hidden_champion,2-step same-day revenue workflow for Ilara Health,"Hi {{name}}, we help teams like Ilara Health improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Ilara Health.",https://www.linkedin.com/company/ilarahealth/,https://www.instagram.com/ilarahealth/,https://ilarahealth.com,emails_found=1;phones_found=1;linkedin=true;instagram=true,Wait for reply; trigger follow-up in 24h if no response,sent_2026-07-06_batch2,2026-07-06T12:02:58.168Z
BasiGo,sme,mobility,Business Development Lead,info@basi-go.com,2.54706E+11,email,99,deep_research_hidden_champion,2-step same-day revenue workflow for BasiGo,"Hi {{name}}, we help teams like BasiGo improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to BasiGo.",https://www.linkedin.com/company/basigo/,https://www.instagram.com/basi.go/,https://basi-go.com,emails_found=3;phones_found=1;linkedin=true;instagram=true,Wait for reply; trigger follow-up in 24h if no response,sent_2026-07-06_batch2,2026-07-06T12:02:58.168Z
Twiva,sme,social-commerce,Business Development Lead,info@twiva.co.ke,2.54716E+11,email,99,deep_research_hidden_champion,2-step same-day revenue workflow for Twiva,"Hi {{name}}, we help teams like Twiva improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Twiva.",https://www.linkedin.com/company/twiva/,https://www.instagram.com/twiva_inc/,https://twiva.co.ke,emails_found=1;phones_found=2;linkedin=true;instagram=true,Wait for reply; trigger follow-up in 24h if no response,sent_2026-07-06_batch2,2026-07-06T12:02:58.168Z
Greenspoon,sme,retail,Head of Operations,shop@greenspoon.co.ke,2.54157E+11,email,99,deep_research_hidden_champion,Quick idea to improve Greenspoon response-to-sale speed,"Hi {{name}}, we help teams like Greenspoon improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Greenspoon.",https://ke.linkedin.com/company/greenspoonke,https://www.instagram.com/greenspoonke/?hl=en,https://greenspoon.co.ke,emails_found=1;phones_found=2;linkedin=true;instagram=true,Wait for reply; trigger follow-up in 24h if no response,sent_2026-07-06_batch2,2026-07-06T12:02:58.168Z
M-Gas,sme,energy,Partnerships Lead,,2.54801E+11,phone/whatsapp,86,deep_research_hidden_champion,2-step same-day revenue workflow for M-Gas,"Hi {{name}}, we help teams like M-Gas improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to M-Gas.",https://www.linkedin.com/company/m-gas/,,https://mgas.ke,emails_found=0;phones_found=2;linkedin=true;instagram=false,Wait for reply; trigger follow-up in 24h if no response,sent_2026-07-06_batch2,2026-07-06T12:02:58.168Z
Kilimall Kenya,mixed,retail,Head of Operations,help@kilimall.com,,email,82,ready_contact_from_curated_list,Quick idea to improve Kilimall Kenya response-to-sale speed,"Hi {{name}}, we help teams like Kilimall Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",,,,,Wait for reply; trigger follow-up in 24h if no response,sent_2026-07-06_batch2,2026-07-06T12:02:58.168Z
Sarova Hotels,mixed,hospitality,General Manager,sarovazawadi@sarovahotels.com,,email,82,ready_contact_from_curated_list,Faster guest inquiry handling for Sarova Hotels,"Hi {{name}}, we help teams like Sarova Hotels improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",,,,,Do not resend today; use 24h follow-up only,deferred_contacted_today,2026-07-06T12:02:58.168Z
Serena Hotels Kenya,mixed,hospitality,General Manager,sales@serena.com.pk,,email,82,ready_contact_from_curated_list,Faster guest inquiry handling for Serena Hotels Kenya,"Hi {{name}}, we help teams like Serena Hotels Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",,,,,Do not resend today; use 24h follow-up only,deferred_contacted_today,2026-07-06T12:02:58.168Z
Villa Rosa Kempinski Nairobi,mixed,hospitality,General Manager,info.development@kempinski.com,,email,82,ready_contact_from_curated_list,Faster guest inquiry handling for Villa Rosa Kempinski Nairobi,"Hi {{name}}, we help teams like Villa Rosa Kempinski Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",,,,,Do not resend today; use 24h follow-up only,deferred_contacted_today,2026-07-06T12:02:58.168Z
Eka Hotel Nairobi,mixed,hospitality,General Manager,sales@ekahotel.com,,email,82,ready_contact_from_curated_list,Faster guest inquiry handling for Eka Hotel Nairobi,"Hi {{name}}, we help teams like Eka Hotel Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",,,,,Do not resend today; use 24h follow-up only,deferred_contacted_today,2026-07-06T12:02:58.168Z
