organization,industry,priority_score,urgency_bucket,target_role,contact_name,email,phone,ready_channel,status,approach_subject,approach_opening,research_query_1,research_query_2,research_query_3,research_query_4,website,source_url,next_action
Quickmart,retail,82,hot,Head of Operations,Support Team,,12120250807,phone/whatsapp,new,Quick idea to improve Quickmart response-to-sale speed,"Hi {{name}}, we help teams like Quickmart improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Quickmart Kenya Head of Operations email,site:linkedin.com/in Quickmart Head of Operations Kenya,site:quickmart.co.ke Head of Operations,"""Quickmart"" ""contact"" Kenya",https://quickmart.co.ke,https://quickmart.co.ke,Find decision-maker email/phone then send first-touch value message
Carrefour Kenya,retail,82,hot,Head of Operations,Contact Team,contact@mafcarrefour.com,5389187753,email,new,Quick idea to improve Carrefour Kenya response-to-sale speed,"Hi {{name}}, we help teams like Carrefour Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Carrefour Kenya Kenya Head of Operations email,site:linkedin.com/in Carrefour Kenya Head of Operations Kenya,site:carrefour.ke Head of Operations,"""Carrefour Kenya"" ""contact"" Kenya",https://www.carrefour.ke,https://www.carrefour.ke,Find decision-maker email/phone then send first-touch value message
Kilimall Kenya,retail,82,hot,Head of Operations,Contact Team,help@kilimall.com,7690010728,email,new,Quick idea to improve Kilimall Kenya response-to-sale speed,"Hi {{name}}, we help teams like Kilimall Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Kilimall Kenya Kenya Head of Operations email,site:linkedin.com/in Kilimall Kenya Head of Operations Kenya,site:kilimall.co.ke Head of Operations,"""Kilimall Kenya"" ""contact"" Kenya",https://www.kilimall.co.ke,https://www.kilimall.co.ke,Find decision-maker email/phone then send first-touch value message
Hotpoint Appliances,retail,82,hot,Head of Operations,Customer Care Team,channelsales@hotpoint.co.ke,1782986374026,email,new,Quick idea to improve Hotpoint Appliances response-to-sale speed,"Hi {{name}}, we help teams like Hotpoint Appliances improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Hotpoint Appliances Kenya Head of Operations email,site:linkedin.com/in Hotpoint Appliances Head of Operations Kenya,site:hotpoint.co.ke Head of Operations,"""Hotpoint Appliances"" ""contact"" Kenya",https://hotpoint.co.ke,https://hotpoint.co.ke,Find decision-maker email/phone then send first-touch value message
Sarova Hotels,hospitality,82,hot,General Manager,Reservations Team,sarovazawadi@sarovahotels.com,,email,new,Faster guest inquiry handling for Sarova Hotels,"Hi {{name}}, we help teams like Sarova Hotels improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Sarova Hotels Kenya General Manager email,site:linkedin.com/in Sarova Hotels General Manager Kenya,site:sarovahotels.com General Manager,"""Sarova Hotels"" ""contact"" Kenya",https://www.sarovahotels.com,https://www.sarovahotels.com,Find decision-maker email/phone then send first-touch value message
Serena Hotels Kenya,hospitality,82,hot,General Manager,Support Team,sales@serena.com.pk,,email,new,Faster guest inquiry handling for Serena Hotels Kenya,"Hi {{name}}, we help teams like Serena Hotels Kenya improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Serena Hotels Kenya Kenya General Manager email,site:linkedin.com/in Serena Hotels Kenya General Manager Kenya,site:serenahotels.com General Manager,"""Serena Hotels Kenya"" ""contact"" Kenya",https://www.serenahotels.com,https://www.serenahotels.com,Find decision-maker email/phone then send first-touch value message
Villa Rosa Kempinski Nairobi,hospitality,82,hot,General Manager,Support Team,info.development@kempinski.com,40641560693,email,new,Faster guest inquiry handling for Villa Rosa Kempinski Nairobi,"Hi {{name}}, we help teams like Villa Rosa Kempinski Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Villa Rosa Kempinski Nairobi Kenya General Manager email,site:linkedin.com/in Villa Rosa Kempinski Nairobi General Manager Kenya,site:kempinski.com General Manager,"""Villa Rosa Kempinski Nairobi"" ""contact"" Kenya",https://www.kempinski.com/en/hotel-villa-rosa,https://www.kempinski.com/en/hotel-villa-rosa,Find decision-maker email/phone then send first-touch value message
Fairmont The Norfolk,hospitality,82,hot,General Manager,Contact Team,,2147483647,phone/whatsapp,new,Faster guest inquiry handling for Fairmont The Norfolk,"Hi {{name}}, we help teams like Fairmont The Norfolk improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Fairmont The Norfolk Kenya General Manager email,site:linkedin.com/in Fairmont The Norfolk General Manager Kenya,site:fairmont.com General Manager,"""Fairmont The Norfolk"" ""contact"" Kenya",https://www.fairmont.com/norfolk-hotel-nairobi,https://www.fairmont.com/norfolk-hotel-nairobi,Find decision-maker email/phone then send first-touch value message
Eka Hotel Nairobi,hospitality,82,hot,General Manager,Contact Team,sales@ekahotel.com,,email,new,Faster guest inquiry handling for Eka Hotel Nairobi,"Hi {{name}}, we help teams like Eka Hotel Nairobi improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",Eka Hotel Nairobi Kenya General Manager email,site:linkedin.com/in Eka Hotel Nairobi General Manager Kenya,site:ekahotel.com General Manager,"""Eka Hotel Nairobi"" ""contact"" Kenya",https://www.ekahotel.com,https://www.ekahotel.com,Find decision-maker email/phone then send first-touch value message
PrideInn Hotels,hospitality,82,hot,General Manager,Support Team,website@prideinn.co.ke,1783003877,email,new,Faster guest inquiry handling for PrideInn Hotels,"Hi {{name}}, we help teams like PrideInn Hotels improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup.",PrideInn Hotels Kenya General Manager email,site:linkedin.com/in PrideInn Hotels General Manager Kenya,site:prideinn.co.ke General Manager,"""PrideInn Hotels"" ""contact"" Kenya",https://www.prideinn.co.ke,https://www.prideinn.co.ke,Find decision-maker email/phone then send first-touch value message
