organization,segment,industry,website,target_role,email,phone,channel_primary,execution_score,approach_subject,approach_opening,research_query_1,research_query_2,research_query_3,research_query_4,evidence_signals,next_action,status
Workpay,sme,saas,https://myworkpay.com,Head of Growth,marketing@myworkpay.com,+25416041588,email,99,2-step same-day revenue workflow for Workpay,"Hi {{name}}, we help teams like Workpay improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Workpay.",Workpay Kenya Head of Growth email,site:linkedin.com/in Workpay Head of Growth Kenya,site:myworkpay.com Head of Growth,"""Workpay"" ""contact"" Kenya",emails_found=2;phones_found=20;pages_fetched=2,Send first touch now,new
M-KOPA,sme,fintech,https://www.m-kopa.com,Partnerships Lead,info@m-kopa.com,+2543202618,email,99,Practical way to improve conversion follow-up at M-KOPA,"Hi {{name}}, we help teams like M-KOPA improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to M-KOPA.",M-KOPA Kenya Partnerships Lead email,site:linkedin.com/in M-KOPA Partnerships Lead Kenya,site:m-kopa.com Partnerships Lead,"""M-KOPA"" ""contact"" Kenya",emails_found=1;phones_found=100;pages_fetched=2,Send first touch now,new
Moringa School,sme,education,https://moringaschool.com,Operations Manager,contact@moringaschool.com,+2540500150,email,99,2-step same-day revenue workflow for Moringa School,"Hi {{name}}, we help teams like Moringa School improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Moringa School.",Moringa School Kenya Operations Manager email,site:linkedin.com/in Moringa School Operations Manager Kenya,site:moringaschool.com Operations Manager,"""Moringa School"" ""contact"" Kenya",emails_found=4;phones_found=58;pages_fetched=2,Send first touch now,new
Nairobi Garage,sme,professional_services,https://nairobigarage.com,Founder/Operations Lead,join@nairobigarage.com,+2540755556955,email,99,2-step same-day revenue workflow for Nairobi Garage,"Hi {{name}}, we help teams like Nairobi Garage improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Nairobi Garage.",Nairobi Garage Kenya Founder/Operations Lead email,site:linkedin.com/in Nairobi Garage Founder/Operations Lead Kenya,site:nairobigarage.com Founder/Operations Lead,"""Nairobi Garage"" ""contact"" Kenya",emails_found=1;phones_found=21;pages_fetched=2,Send first touch now,new
Kopo Kopo,sme,fintech,https://kopokopo.co.ke,Partnerships Lead,info@kopokopo.com,+254709376000,email,99,Practical way to improve conversion follow-up at Kopo Kopo,"Hi {{name}}, we help teams like Kopo Kopo improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Kopo Kopo.",Kopo Kopo Kenya Partnerships Lead email,site:linkedin.com/in Kopo Kopo Partnerships Lead Kenya,site:kopokopo.co.ke Partnerships Lead,"""Kopo Kopo"" ""contact"" Kenya",emails_found=2;phones_found=7;pages_fetched=2,Send first touch now,new
Naivas Supermarket,large,retail,https://naivas.online,Head of Operations,onlinesupport@naivas.co.ke,+254711080000,email,98,Quick idea to improve Naivas Supermarket response-to-sale speed,"Hi {{name}}, we help teams like Naivas Supermarket improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Naivas Supermarket.",Naivas Supermarket Kenya Head of Operations email,site:linkedin.com/in Naivas Supermarket Head of Operations Kenya,site:naivas.online Head of Operations,"""Naivas Supermarket"" ""contact"" Kenya",emails_found=2;phones_found=10;pages_fetched=1,Send first touch now,new
PrideInn Hotels,large,hospitality,https://prideinnhotels.com,General Manager,website@prideinn.co.ke,+2540448512,email,98,Faster inquiry handling for PrideInn Hotels,"Hi {{name}}, we help teams like PrideInn Hotels improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to PrideInn Hotels.",PrideInn Hotels Kenya General Manager email,site:linkedin.com/in PrideInn Hotels General Manager Kenya,site:prideinnhotels.com General Manager,"""PrideInn Hotels"" ""contact"" Kenya",emails_found=1;phones_found=87;pages_fetched=2,Send first touch now,new
PesaPal,sme,fintech,https://www.pesapal.com,Partnerships Lead,,+254709219000,phone/whatsapp,88,Practical way to improve conversion follow-up at PesaPal,"Hi {{name}}, we help teams like PesaPal improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to PesaPal.",PesaPal Kenya Partnerships Lead email,site:linkedin.com/in PesaPal Partnerships Lead Kenya,site:pesapal.com Partnerships Lead,"""PesaPal"" ""contact"" Kenya",emails_found=0;phones_found=5;pages_fetched=1,Send first touch now,new
Safaricom,large,telecom,https://www.safaricom.co.ke,Business Development Manager,,+25442857143,phone/whatsapp,80,2-step same-day revenue workflow for Safaricom,"Hi {{name}}, we help teams like Safaricom improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Safaricom.",Safaricom Kenya Business Development Manager email,site:linkedin.com/in Safaricom Business Development Manager Kenya,site:safaricom.co.ke Business Development Manager,"""Safaricom"" ""contact"" Kenya",emails_found=0;phones_found=155;pages_fetched=1,Send first touch now,new
Kenya Airways,large,travel,https://www.kenya-airways.com,Business Development Manager,,6745785228,phone/whatsapp,80,2-step same-day revenue workflow for Kenya Airways,"Hi {{name}}, we help teams like Kenya Airways improve lead-to-revenue conversion with practical automation. If useful, I can share a 2-step same-day setup tailored to Kenya Airways.",Kenya Airways Kenya Business Development Manager email,site:linkedin.com/in Kenya Airways Business Development Manager Kenya,site:kenya-airways.com Business Development Manager,"""Kenya Airways"" ""contact"" Kenya",emails_found=0;phones_found=29;pages_fetched=1,Send first touch now,new
