intent_id,intent_name,platform,sector,city,buyer_signal_strength,daily_target_min,daily_target_max,query_1,query_2,query_3,query_4,query_5,query_6,exclude_terms,target_roles,offer_angle
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Nairobi,hot,10,30,"""looking for a car"" Kenya","""looking for a car"" Nairobi","Mobility ""looking for a car"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Nairobi,hot,10,30,"""need a vehicle"" Kenya","""need a vehicle"" Nairobi","Mobility ""need a vehicle"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Nairobi,hot,10,30,"""fleet upgrade"" Kenya","""fleet upgrade"" Nairobi","Mobility ""fleet upgrade"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Nairobi,hot,10,30,"""buy pickup"" Kenya","""buy pickup"" Nairobi","Mobility ""buy pickup"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Nairobi,hot,10,30,"""comparing car models"" Kenya","""comparing car models"" Nairobi","Mobility ""comparing car models"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Nairobi,hot,10,30,"""fuel efficient car"" Kenya","""fuel efficient car"" Nairobi","Mobility ""fuel efficient car"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Mombasa,hot,10,30,"""looking for a car"" Kenya","""looking for a car"" Mombasa","Mobility ""looking for a car"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Mombasa,hot,10,30,"""need a vehicle"" Kenya","""need a vehicle"" Mombasa","Mobility ""need a vehicle"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Mombasa,hot,10,30,"""fleet upgrade"" Kenya","""fleet upgrade"" Mombasa","Mobility ""fleet upgrade"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,LinkedIn,Mobility,Mombasa,hot,10,30,"""buy pickup"" Kenya","""buy pickup"" Mombasa","Mobility ""buy pickup"" Kenya",Mobility buyer intent Kenya,Mobility procurement need Kenya,Mobility operations pain Kenya,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
