organization,target_decision_maker_role,known_person_or_path,linkedin_company,instagram_company,priority_search_query_1,priority_search_query_2,priority_search_query_3,social_research_source,next_action
Bamba,Head of Growth,No named person verified yet; use role-based outreach,n/a,n/a,Bamba Head of Growth LinkedIn Kenya,Bamba Head of Growth email,Bamba Head of Growth Instagram,https://getbamba.com,Identify named role owner and update email/phone if better contact exists
BasiGo,Business Development Lead,No named person verified yet; use role-based outreach,https://www.linkedin.com/company/basigo/,https://www.instagram.com/basi.go/,BasiGo Business Development Lead LinkedIn Kenya,BasiGo Business Development Lead email,BasiGo Business Development Lead Instagram,https://basi-go.com,Identify named role owner and update email/phone if better contact exists
Cellulant,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,Cellulant Partnerships Lead LinkedIn Kenya,Cellulant Partnerships Lead email,Cellulant Partnerships Lead Instagram,https://www.cellulant.io,Identify named role owner and update email/phone if better contact exists
Copia Kenya,Head of Operations,No named person verified yet; use role-based outreach,n/a,n/a,Copia Kenya Head of Operations LinkedIn Kenya,Copia Kenya Head of Operations email,Copia Kenya Head of Operations Instagram,https://copia.co.ke,Identify named role owner and update email/phone if better contact exists
DHL Kenya,Commercial Manager,No named person verified yet; use role-based outreach,n/a,n/a,DHL Kenya Commercial Manager LinkedIn Kenya,DHL Kenya Commercial Manager email,DHL Kenya Commercial Manager Instagram,https://www.dhl.com/ke-en/home.html,Identify named role owner and update email/phone if better contact exists
Eka Hotel Nairobi,General Manager,No named person verified yet; use role-based outreach,n/a,n/a,Eka Hotel Nairobi General Manager LinkedIn Kenya,Eka Hotel Nairobi General Manager email,Eka Hotel Nairobi General Manager Instagram,n/a,Identify named role owner and update email/phone if better contact exists
Equity Group,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,Equity Group Partnerships Lead LinkedIn Kenya,Equity Group Partnerships Lead email,Equity Group Partnerships Lead Instagram,https://equitygroupholdings.com,Identify named role owner and update email/phone if better contact exists
Greenspoon,Head of Operations,No named person verified yet; use role-based outreach,https://ke.linkedin.com/company/greenspoonke,https://www.instagram.com/greenspoonke/?hl=en,Greenspoon Head of Operations LinkedIn Kenya,Greenspoon Head of Operations email,Greenspoon Head of Operations Instagram,https://greenspoon.co.ke,Identify named role owner and update email/phone if better contact exists
Ilara Health,Operations Manager,No named person verified yet; use role-based outreach,https://www.linkedin.com/company/ilarahealth/,https://www.instagram.com/ilarahealth/,Ilara Health Operations Manager LinkedIn Kenya,Ilara Health Operations Manager email,Ilara Health Operations Manager Instagram,https://ilarahealth.com,Identify named role owner and update email/phone if better contact exists
iProcure,Founder/Operations Lead,No named person verified yet; use role-based outreach,n/a,n/a,iProcure Founder/Operations Lead LinkedIn Kenya,iProcure Founder/Operations Lead email,iProcure Founder/Operations Lead Instagram,https://iprocure.com,Identify named role owner and update email/phone if better contact exists
