organization,segment,industry,channel,recipient_email,recipient_phone,followup_subject,followup_message,send_at_utc,status,note
Workpay,sme,saas,email,marketing@myworkpay.com,25416041588,Quick follow-up for Workpay (2-step pilot option),"Hi {{name}}, following up in case this got buried. For Workpay, we can quickly help improve trial-to-paid conversion and lead response speed. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
M-KOPA,sme,fintech,email,info@m-kopa.com,2543202618,Quick follow-up for M-KOPA (2-step pilot option),"Hi {{name}}, following up in case this got buried. For M-KOPA, we can quickly help improve conversion follow-up and payment completion. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
Moringa School,sme,education,email,contact@moringaschool.com,2540500150,Quick follow-up for Moringa School (2-step pilot option),"Hi {{name}}, following up in case this got buried. For Moringa School, we can quickly help improve lead-to-revenue conversion without extra hiring. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
Nairobi Garage,sme,professional_services,email,join@nairobigarage.com,2540760000000,Quick follow-up for Nairobi Garage (2-step pilot option),"Hi {{name}}, following up in case this got buried. For Nairobi Garage, we can quickly help improve lead-to-revenue conversion without extra hiring. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
Kopo Kopo,sme,fintech,email,info@kopokopo.com,254709000000,Quick follow-up for Kopo Kopo (2-step pilot option),"Hi {{name}}, following up in case this got buried. For Kopo Kopo, we can quickly help improve conversion follow-up and payment completion. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
Naivas Supermarket,large,retail,email,onlinesupport@naivas.co.ke,254711000000,Quick follow-up for Naivas Supermarket (2-step pilot option),"Hi {{name}}, following up in case this got buried. For Naivas Supermarket, we can quickly help reduce abandoned checkout and speed buyer response. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
PrideInn Hotels,large,hospitality,email,website@prideinn.co.ke,2540448512,Quick follow-up for PrideInn Hotels (2-step pilot option),"Hi {{name}}, following up in case this got buried. For PrideInn Hotels, we can quickly help recover undecided inquiries and lift booking conversion. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
PesaPal,sme,fintech,email,info@pesapal.com,254709000000,Quick follow-up for PesaPal (2-step pilot option),"Hi {{name}}, following up in case this got buried. For PesaPal, we can quickly help improve conversion follow-up and payment completion. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
Safaricom,large,telecom,email,business@safaricom.co.ke,254722000000,Quick follow-up for Safaricom (2-step pilot option),"Hi {{name}}, following up in case this got buried. For Safaricom, we can quickly help improve lead-to-revenue conversion without extra hiring. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
Quickmart,large,retail,email,qsoko@quickmart.co.ke,254790000000,Quick follow-up for Quickmart (2-step pilot option),"Hi {{name}}, following up in case this got buried. For Quickmart, we can quickly help reduce abandoned checkout and speed buyer response. If helpful, I can share a same-day 2-step pilot outline with clear KPIs.",,queued_24h_followup,Send only if no reply at +24h
